Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
3/06/2015,TCS,EQ,2599.9,2604,2625.6,2590.5,2612,2610.9,2611.6,902342,2.35655E+14,41440,635538,0.7043
4/06/2015,TCS,EQ,2610.9,2617.1,2622.8,2588.5,2600.2,2605.65,2606.81,2065734,5.38497E+14,44653,1816025,0.8791
5/06/2015,TCS,EQ,2605.65,2592,2609,2570,2577.5,2575.85,2583.52,1154267,2.98207E+14,52168,848596,0.7352
8/06/2015,TCS,EQ,2575.85,2590,2590,2561.65,2580,2577.45,2576.28,785160,2.02279E+14,62168,543370,0.6921
9/06/2015,TCS,EQ,2577.45,2585,2590,2551,2561.95,2561.65,2574.52,1289457,3.31974E+14,63744,1099487,0.8527
10/06/2015,TCS,EQ,2561.65,2566,2610,2563.8,2600,2600.75,2586.57,1381675,3.5738E+14,42817,1122720,0.8126
11/06/2015,TCS,EQ,2600.75,2605.5,2613,2556.75,2564.25,2571.3,2585.02,923668,2.3877E+14,37803,658949,0.7134
12/06/2015,TCS,EQ,2571.3,2571.9,2588.95,2476.8,2520,2505.8,2526.7,1285728,3.24865E+14,80056,700457,0.5448
15/06/2015,TCS,EQ,2505.8,2505.3,2520.45,2481,2509.5,2504.8,2503.06,1262588,3.16034E+14,57691,1008687,0.7989
16/06/2015,TCS,EQ,2504.8,2500,2519.3,2494.45,2508,2512,2510.7,633698,1.59103E+14,41162,481883,0.7604
17/06/2015,TCS,EQ,2512,2521,2529.15,2501.8,2512,2513.8,2516.05,987860,2.4855E+14,88734,698348,0.7069
18/06/2015,TCS,EQ,2513.8,2515,2546.3,2508,2522,2530.05,2533.09,1082523,2.74212E+14,83019,764949,0.7066
19/06/2015,TCS,EQ,2530.05,2535,2555,2527.1,2550,2549.55,2546.79,999805,2.5463E+14,50051,769320,0.7695
22/06/2015,TCS,EQ,2549.55,2547,2600,2547,2598.3,2591.5,2587.1,551001,1.42549E+14,43692,317646,0.5765
23/06/2015,TCS,EQ,2591.5,2600,2608,2567.2,2585.9,2574.6,2582.03,449159,1.15974E+14,30619,280403,0.6243
24/06/2015,TCS,EQ,2574.6,2580,2587.9,2558.85,2568.7,2570.3,2573.22,585123,1.50565E+14,39464,331254,0.5661
25/06/2015,TCS,EQ,2570.3,2562,2573,2544.15,2552,2550,2553.8,965496,2.46568E+14,36543,728243,0.7543
26/06/2015,TCS,EQ,2550,2550.2,2596.35,2550.2,2590.1,2592.8,2579.82,645051,1.66411E+14,34240,356380,0.5525
29/06/2015,TCS,EQ,2592.8,2572,2604,2543.4,2599,2592.9,2569.67,686378,1.76377E+14,35008,263984,0.3846
30/06/2015,TCS,EQ,2592.9,2585,2588.75,2540,2555,2550.95,2557.03,774976,1.98163E+14,34960,468575,0.6046
1/07/2015,TCS,EQ,2550.95,2563.9,2608,2556.75,2600,2593.1,2584.41,639854,1.65364E+14,50229,405105,0.6331
2/07/2015,TCS,EQ,2593.1,2600,2602.95,2571.05,2582,2577.75,2583.81,722940,1.86794E+14,63066,441786,0.6111
3/07/2015,TCS,EQ,2577.75,2573.05,2610,2570,2603.1,2603.9,2595.18,481735,1.25019E+14,34612,263852,0.5477
6/07/2015,TCS,EQ,2603.9,2580.3,2645,2580.3,2629.7,2633.3,2613.46,591169,1.545E+14,31304,280866,0.4751
7/07/2015,TCS,EQ,2633.3,2632.75,2646.9,2603,2623.9,2616.25,2627.79,821418,2.15851E+14,51719,531468,0.647
8/07/2015,TCS,EQ,2616.25,2597.95,2621.7,2580.5,2591.7,2595.1,2596.66,1333925,3.46375E+14,85552,956051,0.7167
